Company Growth Plan,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,,,,,,,,,,
,,,,,,,,,,
,Corporate,Sales,Strategy & Operations,Marketing,Client Success,Interactive,Product,Technology,Finance & Admin,Human Resources
Purpose,We help our clients stand out and reach their potential by creating meaningful connections and lasting engagement between their brands and their customers,The engine of new and sustainable growth; relentless promoter of the Mapp.,"Guardian of a clear, sound, and inspirinng strategy; noble defender of productivity and making hard things simpler",The ultimate ambassador of the brand and high-impact enabler of new growth opportunities,The ultimate guardian and enabler of customer success; creator of proud and enthusiastic client advocates,"Creator of amazing audiences; building services and solutions that deliver timely, relevant, 1:1 interactions at scale.","Creator of the Product Vision and Roadmap, designer of ROI-generating, beautiful customer experiences","The Platform backbone, providing unfettered high-performance access to our offerings; proud builder of awesome high-quality products",Guardian and protector of financial performance and business health,"Champion of our people and our teams; driving a culture of effectiveness, winning, engagement, and personal growth"
BIG Goals ,"We become recognized as the largest and most innovative digital marketing platform company on the planet

$100M in revenue by 2018

$200M in revenue by 2021","- The team is delivering net new growth consistently month over month
- The organization is lifted by the energy created by the strongest sales trajectory in history; every employee feels connected to the growth engine
- We gain recognized brands, often from top known competitors
- The unique sales pitches excite and inspire
-Able to set a meeting with anyone we choose","-The team and employees are motivated by the strategy, direction, and credibility of the company
-We consistently achieve the stretch goals we set 
-Our growth orientation is matched by an obsession with cost management (""cost management is a sport"")
-A model for how to simplify all that is needed and to eliminate things that aren't","-ME/BH has a clear and commanding voice; itâ€™s got an edge that's commanding attention
-The brand and marketing (website, email marketing, published content) matches the digital marketing excellence and expertise we aim to deliver to our clients
-We deliver multiple disruptive ""events""; getting noticed in visible ways","-We strengthen key relationships, exciting and delighting existing customers through a relentless focus on value creation
-Retention and NPS metrics consistently improve
-Customers begin proudly referring BH to their friends leading to a new stream of highest-quality prospects

","-We are viewed as industry thought-leaders providing strategies and services to help marketers achieve their potential
-Our leadership and demonstrated performance drive substantial value to clients and massive upsell opportunities to us
-The team wins several awards for its amazing work","-We are recognized by third parties as truly disruptive
-The organization is energized and inspired by the pace and differentiation of the innovation
-We win an award for innovation
-We are partners with the strongest players in the market
-The platform is architected in a way that speeds innovation to market and value to customers (micro-services architecture)
-Design-driven to get to desired place in ""shortest route""
-Strong advancement with external analysts (e.g., Forrester, Gartner)","-The entire organization is surprised and delighted by the transformation in the tech team based on our new operating freedom
-The transformation includes addition of top talent in key positions
-It's abundantly clear that we control our destiny; the past constraints feel distant and ME/BH is now a cool place for top tech talent
-Engineering productivity is a benchmark","-We break through $100M in revenue by 2018; have a credible path to $200M by 2021
-The team drives unprecedented levels of insight to create step-function improvements in key areas
-We have the financial strength to execute our short and long-term plans
-Our employees feel connected to the financial health of the business and are active participants as they are in growth initiatives","-We are recognized officially as a great place to work
-Our speed and efficiency in talent acquisition is a benchmark
-Employees are inspired by our mission, accountable to each other, and utilize their greatest strengths
'-Retention is sky high
-We have a culture that top global talent is swarming to join"
2016 Goals - Measurable (desired),"-Clear vision/purpose
-Define corporate strategic direction
-Follow-through on communications commitments
-Strong relations with external stakeholders","-Define and achieve Q4 new logo goals (emphasis on trajectory over absolute performance)
-Achieve 2016 cost structure goals
-Define and achieve target 1/1/17 Pipeline* 
-Complete differentiated and inspiring training as the baseline for success","-Clear target market
-Execution against F100 plans
-Shared goals with sales include: Pipeline, sales performance, and salesperson standards of excellence
-Inspiring and clear GTM model
-Achieve 2016 cost structure improvement goals","-Finalize brand messaging house
-Successful launch of new Mapp brand
-Achieve cost structure goals
-Q4, 2016 KPIs needed to support sales and pipeline (see Metrics Map in this file)
-Clear definition of 2017 KPIs to drive revenue growth
",,,"-Secure funding for next phase of Aurora for 2016-2017
-Deliver on platform unification goals
-Deliver on 2016 Roadmap
-Achieve 2016 cost structure improvements",,,
Key questions that MUST BE answered,,,,,,,,,,
Critical Success Factors,,,,,,,,,,
Critical Assumptions,,,,,,,,,,
Risks,,,,,,,,,,
Mitigating Actions,,,,,,,,,,
,,,,,,,,,,
Open Questions,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Notes:,,,,,,,,,,
*Reflects a healthy pipeline of Mapp target customers,,,,,,,,,,
